disc_rank,question_id,category,label_hard,mean_score,std_score,score_Phi_3.5_mini_Instruct,score_gemma_2_9b_it,score_Yi_1.5_9B_Chat,score_Mistral_7B_Instruct_v0.3,score_SOLAR_10.7B_Instruct,score_Zephyr_7B_beta,score_Llama_3.1_8B_Instruct
1,116,math,True,5.6429,2.7946,8.5000,7.5000,8.0000,2.0000,7.0000,2.0000,4.5000
2,117,math,True,6.0714,2.7146,8.5000,8.5000,7.5000,2.5000,6.5000,2.0000,7.0000
3,128,coding,True,6.0714,2.6525,8.5000,8.0000,8.5000,5.5000,2.5000,2.5000,7.0000
4,111,math,True,5.8571,2.5935,8.5000,7.0000,7.0000,2.0000,6.0000,2.5000,8.0000
5,126,coding,True,5.7143,2.5635,8.0000,8.5000,5.5000,2.5000,5.0000,2.5000,8.0000
6,118,math,True,7.5000,2.4324,8.5000,8.5000,8.5000,2.0000,8.5000,8.5000,8.0000
7,125,coding,True,6.5714,2.4226,8.5000,8.5000,8.5000,4.5000,2.5000,5.5000,8.0000
8,127,coding,True,7.2143,2.3954,9.0000,9.0000,8.0000,8.0000,2.5000,5.5000,8.5000
9,114,math,True,5.5000,2.3629,7.5000,8.5000,4.5000,4.5000,4.0000,2.0000,7.5000
10,113,math,True,6.5714,2.2809,7.5000,8.0000,8.0000,8.0000,2.0000,5.0000,7.5000
11,104,reasoning,True,5.6429,2.1547,7.5000,7.0000,7.5000,4.5000,7.0000,2.0000,4.0000
12,109,reasoning,True,7.2143,2.1381,8.5000,8.0000,8.5000,7.0000,8.0000,2.5000,8.0000
13,140,extraction,False,6.1429,2.1157,8.0000,7.5000,5.5000,3.0000,5.5000,4.5000,9.0000
14,105,reasoning,True,4.7143,2.0178,5.5000,5.0000,2.0000,5.5000,4.5000,2.5000,8.0000
15,108,reasoning,True,5.5714,1.9024,6.5000,8.0000,5.0000,2.5000,7.5000,4.5000,5.0000
16,137,extraction,False,7.5714,1.8127,8.0000,8.5000,8.0000,8.5000,8.0000,3.5000,8.5000
