judge,model,n_samples,mean_diff,p_value,sig
Qwen-7B,EXAONE-3.5-7.8B-Instruct,158,0.6899,0.0,p<0.001
Qwen-7B,EEVE-Korean-Instruct-10.8B,154,0.563,0.0005,p<0.001
Qwen-7B,Llama-3.1-8B-Instruct,149,1.4866,0.0,p<0.001
Qwen-7B,gemma-2-9b-it,154,0.9253,0.0,p<0.001
Qwen-7B,Mistral-7B-Instruct-v0.3,150,2.08,0.0,p<0.001
Qwen-7B,Phi-3.5-mini-Instruct,150,1.5967,0.0,p<0.001
Qwen-14B,EXAONE-3.5-7.8B-Instruct,160,0.5219,0.0,p<0.001
Qwen-14B,EEVE-Korean-Instruct-10.8B,160,0.4094,0.0155,p<0.05
Qwen-14B,Llama-3.1-8B-Instruct,159,2.3145,0.0,p<0.001
Qwen-14B,gemma-2-9b-it,159,0.7484,0.0,p<0.001
Qwen-14B,Mistral-7B-Instruct-v0.3,158,2.4114,0.0,p<0.001
Qwen-14B,Phi-3.5-mini-Instruct,159,2.4151,0.0,p<0.001
Qwen-32B,EXAONE-3.5-7.8B-Instruct,159,0.239,0.0282,p<0.05
Qwen-32B,EEVE-Korean-Instruct-10.8B,160,0.3438,0.0177,p<0.05
Qwen-32B,Llama-3.1-8B-Instruct,159,1.9182,0.0,p<0.001
Qwen-32B,gemma-2-9b-it,159,0.7484,0.0,p<0.001
Qwen-32B,Mistral-7B-Instruct-v0.3,160,2.3563,0.0,p<0.001
Qwen-32B,Phi-3.5-mini-Instruct,160,2.5438,0.0,p<0.001
