## 분석1: Inconsistency & Position Bias
judge,en_incon_pct,ko_incon_pct,delta_incon_pct,en_fp_pct,ko_fp_pct,delta_fp_pct
qwen_7B,79.25,44.92,-34.33,52.5,40.42,-12.08
qwen_14B,45.08,23.25,-21.83,35.5,6.08,-29.42
qwen_32B,30.92,20.42,-10.5,22.25,14.25,-8.0
exaone_32B,42.17,30.5,-11.67,38.08,26.25,-11.83
gpt4omini,33.25,21.58,-11.67,26.75,18.0,-8.75

## 분석2: 카테고리별 EN-KO Score Gap
judge,category,en_mean,ko_mean,delta,n_pairs
qwen_32B,writing,7.9833,6.2,-1.7833,60
qwen_32B,roleplay,7.65,5.9833,-1.6667,60
qwen_32B,reasoning,6.9167,4.8667,-2.05,60
qwen_32B,math,7.1,5.9167,-1.1833,60
qwen_32B,coding,7.3167,6.8917,-0.425,60
qwen_32B,extraction,7.4583,6.7583,-0.7,60
qwen_32B,stem,8.425,6.6667,-1.7583,60
qwen_32B,humanities,8.4833,7.1667,-1.3167,60
qwen_7B,writing,7.7119,6.5636,-1.1483,59
qwen_7B,roleplay,7.6667,5.9333,-1.7333,60
qwen_7B,reasoning,7.525,5.625,-1.9,60
qwen_7B,math,7.575,6.85,-0.725,60
qwen_7B,coding,7.8667,7.3167,-0.55,60
qwen_7B,extraction,7.4237,6.189,-1.2347,59
qwen_7B,stem,8.3475,7.2415,-1.1059,59
qwen_7B,humanities,8.3083,7.0375,-1.2708,60
qwen_14B,writing,8.2083,6.175,-2.0333,60
qwen_14B,roleplay,7.7667,6.5333,-1.2333,60
qwen_14B,reasoning,7.275,5.0167,-2.2583,60
qwen_14B,math,7.6583,6.0875,-1.5708,60
qwen_14B,coding,7.3083,6.6083,-0.7,60
qwen_14B,extraction,7.8417,6.9958,-0.8458,60
qwen_14B,stem,8.3917,6.5917,-1.8,60
qwen_14B,humanities,8.5,7.1417,-1.3583,60
exaone_32B,writing,7.885,7.277,-0.608,50
exaone_32B,roleplay,7.96,7.355,-0.605,50
exaone_32B,reasoning,7.97,7.132,-0.838,50
exaone_32B,math,7.93,7.11,-0.82,50
exaone_32B,coding,7.645,7.523,-0.122,50
exaone_32B,extraction,8.1,7.689,-0.411,50
exaone_32B,stem,8.445,7.573,-0.872,50
exaone_32B,humanities,8.375,7.76,-0.615,50
gpt4omini,writing,7.8917,6.725,-1.1667,60
gpt4omini,roleplay,7.7667,6.35,-1.4167,60
gpt4omini,reasoning,7.275,5.7167,-1.5583,60
gpt4omini,math,7.075,5.9083,-1.1667,60
gpt4omini,coding,7.8,6.85,-0.95,60
gpt4omini,extraction,7.525,7.4083,-0.1167,60
gpt4omini,stem,8.375,6.7833,-1.5917,60
gpt4omini,humanities,8.35,7.075,-1.275,60
