judge,category,total_pairs,inconsistent_n,inconsistency_rate,first_pos_wins,first_pos_rate,bias
7B,overall,1680,1323,0.7875,1114,0.842,0.342
7B,writing,210,181,0.8619,153,0.8453,0.3453
7B,roleplay,210,115,0.5476,94,0.8174,0.3174
7B,extraction,210,132,0.6286,117,0.8864,0.3864
7B,reasoning,210,158,0.7524,121,0.7658,0.2658
7B,math,210,159,0.7571,128,0.805,0.305
7B,coding,210,176,0.8381,157,0.892,0.392
7B,stem,210,200,0.9524,174,0.87,0.37
7B,humanities,210,202,0.9619,170,0.8416,0.3416
14B,overall,1680,787,0.4685,736,0.9352,0.4352
14B,writing,210,109,0.519,106,0.9725,0.4725
14B,roleplay,210,96,0.4571,90,0.9375,0.4375
14B,extraction,210,89,0.4238,82,0.9213,0.4213
14B,reasoning,210,100,0.4762,89,0.89,0.39
14B,math,210,73,0.3476,59,0.8082,0.3082
14B,coding,210,65,0.3095,57,0.8769,0.3769
14B,stem,210,104,0.4952,103,0.9904,0.4904
14B,humanities,210,151,0.719,150,0.9934,0.4934
32B,overall,1680,552,0.3286,524,0.9493,0.4493
32B,writing,210,86,0.4095,85,0.9884,0.4884
32B,roleplay,210,54,0.2571,53,0.9815,0.4815
32B,extraction,210,82,0.3905,79,0.9634,0.4634
32B,reasoning,210,64,0.3048,62,0.9688,0.4688
32B,math,210,57,0.2714,46,0.807,0.307
32B,coding,210,56,0.2667,49,0.875,0.375
32B,stem,210,82,0.3905,82,1.0,0.5
32B,humanities,210,71,0.3381,68,0.9577,0.4577
