model,category,score_turn1,score_turn2,delta,n_questions
Llama-3.1-8B-Instruct,coding,7.2,8.0,0.8,10
Llama-3.1-8B-Instruct,extraction,7.7,7.8,0.1,10
Llama-3.1-8B-Instruct,humanities,8.6,8.2,-0.4,10
Llama-3.1-8B-Instruct,math,7.7,7.2,-0.5,10
Llama-3.1-8B-Instruct,reasoning,5.8,7.5,1.7,10
Llama-3.1-8B-Instruct,roleplay,8.1,7.2,-0.9,10
Llama-3.1-8B-Instruct,stem,8.5,8.2,-0.3,10
Llama-3.1-8B-Instruct,writing,8.4,7.3,-1.1,10
Mistral-7B-Instruct-v0.3,coding,5.9,7.0,1.1,10
Mistral-7B-Instruct-v0.3,extraction,7.2,6.5,-0.7,10
Mistral-7B-Instruct-v0.3,humanities,8.3,8.1,-0.2,10
Mistral-7B-Instruct-v0.3,math,4.4,5.3,0.9,10
Mistral-7B-Instruct-v0.3,reasoning,5.9,6.9,1.0,10
Mistral-7B-Instruct-v0.3,roleplay,7.8,7.4,-0.4,10
Mistral-7B-Instruct-v0.3,stem,8.7,8.1,-0.6,10
Mistral-7B-Instruct-v0.3,writing,8.5,7.4,-1.1,10
Phi-3.5-mini-Instruct,coding,8.3,8.0,-0.3,10
Phi-3.5-mini-Instruct,extraction,7.2,7.7,0.5,10
Phi-3.5-mini-Instruct,humanities,8.7,8.8,0.1,10
Phi-3.5-mini-Instruct,math,8.4,8.3,-0.1,10
Phi-3.5-mini-Instruct,reasoning,7.0,8.1,1.1,10
Phi-3.5-mini-Instruct,roleplay,7.6,8.0,0.4,10
Phi-3.5-mini-Instruct,stem,8.5,8.3,-0.2,10
Phi-3.5-mini-Instruct,writing,8.5,7.6,-0.9,10
SOLAR-10.7B-Instruct,coding,5.6,5.3,-0.3,10
SOLAR-10.7B-Instruct,extraction,6.2,6.8,0.6,10
SOLAR-10.7B-Instruct,humanities,8.7,7.8,-0.9,10
SOLAR-10.7B-Instruct,math,6.7,6.3,-0.4,10
SOLAR-10.7B-Instruct,reasoning,6.6,7.5,0.9,10
SOLAR-10.7B-Instruct,roleplay,7.1,6.6,-0.5,10
SOLAR-10.7B-Instruct,stem,8.1,7.8,-0.3,10
SOLAR-10.7B-Instruct,writing,8.3,6.9,-1.4,10
Yi-1.5-9B-Chat,coding,6.5,8.2,1.7,10
Yi-1.5-9B-Chat,extraction,7.8,6.9,-0.9,10
Yi-1.5-9B-Chat,humanities,8.3,8.4,0.1,10
Yi-1.5-9B-Chat,math,7.6,7.8,0.2,10
Yi-1.5-9B-Chat,reasoning,6.8,7.5,0.7,10
Yi-1.5-9B-Chat,roleplay,8.2,7.9,-0.3,10
Yi-1.5-9B-Chat,stem,8.8,8.5,-0.3,10
Yi-1.5-9B-Chat,writing,8.5,6.9,-1.6,10
Zephyr-7B-beta,coding,5.9,5.4,-0.5,10
Zephyr-7B-beta,extraction,5.2,6.1,0.9,10
Zephyr-7B-beta,humanities,8.0,7.8,-0.2,10
Zephyr-7B-beta,math,5.5,5.0,-0.5,10
Zephyr-7B-beta,reasoning,5.3,5.1,-0.2,10
Zephyr-7B-beta,roleplay,7.5,7.7,0.2,10
Zephyr-7B-beta,stem,8.2,8.1,-0.1,10
Zephyr-7B-beta,writing,8.2,6.9,-1.3,10
gemma-2-9b-it,coding,8.2,8.8,0.6,10
gemma-2-9b-it,extraction,8.1,7.4,-0.7,10
gemma-2-9b-it,humanities,8.556,8.556,0.0,9
gemma-2-9b-it,math,8.0,8.2,0.2,10
gemma-2-9b-it,reasoning,7.4,7.3,-0.1,10
gemma-2-9b-it,roleplay,8.0,7.9,-0.1,10
gemma-2-9b-it,stem,8.5,8.5,0.0,10
gemma-2-9b-it,writing,8.3,7.8,-0.5,10
