judge_a,judge_b,spearman_rho,kendall_tau_b,exact_pairwise_agreement_valid,common_valid_pairwise_records
Qwen2.5-7B,Qwen2.5-14B,0.8214,0.7143,0.5006,1680
Qwen2.5-7B,Qwen2.5-32B,0.7857,0.7143,0.3959,1677
Qwen2.5-7B,InternLM2.5-7B,0.7928,0.6831,0.5022,460
Qwen2.5-7B,InternLM2.5-20B,0.6071,0.5238,0.4977,1543
Qwen2.5-7B,GPT-4o-mini,0.8929,0.8095,0.4167,1680
Qwen2.5-14B,Qwen2.5-32B,0.75,0.619,0.5784,1677
Qwen2.5-14B,InternLM2.5-7B,0.6667,0.488,0.5087,460
Qwen2.5-14B,InternLM2.5-20B,0.5714,0.4286,0.51,1543
Qwen2.5-14B,GPT-4o-mini,0.7857,0.7143,0.572,1680
Qwen2.5-32B,InternLM2.5-7B,0.937,0.8783,0.4239,460
Qwen2.5-32B,InternLM2.5-20B,0.8929,0.8095,0.4968,1542
Qwen2.5-32B,GPT-4o-mini,0.9643,0.9048,0.5802,1677
InternLM2.5-7B,InternLM2.5-20B,0.7748,0.6831,0.4907,432
InternLM2.5-7B,GPT-4o-mini,0.8829,0.7807,0.4935,460
InternLM2.5-20B,GPT-4o-mini,0.8571,0.7143,0.5463,1543
