judge_label,split_id,dev_models,test_models,dev_size,test_size,n_questions,topdisc_rho,topdisc_tau,topdisc_pairwise_acc,topdisc_top1_match,random_trials,random_mean_rho,random_std_rho,random_min_rho,random_max_rho,random_p05_rho,random_p95_rho,random_mean_tau,random_mean_pairwise_acc,random_mean_top1_match,topdisc_beats_random_trial_rate
qwen32,1,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,SOLAR-10.7B-Instruct","Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,10,0.8,0.6666666666666666,0.8333333333333334,1.0,200,0.802,0.22890172563788155,0.19999999999999996,1.0,0.4,1.0,0.751,0.8670833333333333,0.66,0.185
qwen32,1,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,SOLAR-10.7B-Instruct","Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,20,1.0,1.0,1.0,1.0,200,0.893,0.1521545267154415,0.4,1.0,0.4,1.0,0.8516666666666667,0.91875,0.8,0.425
qwen32,1,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,SOLAR-10.7B-Instruct","Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,25,1.0,1.0,1.0,1.0,200,0.914,0.12571396103854177,0.4,1.0,0.8,1.0,0.8813333333333333,0.93375,0.86,0.38
qwen32,1,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,SOLAR-10.7B-Instruct","Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,30,1.0,1.0,1.0,1.0,200,0.914,0.12084701072016633,0.19999999999999996,1.0,0.8,1.0,0.8746666666666667,0.9333333333333333,0.915,0.395
qwen32,1,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,SOLAR-10.7B-Instruct","Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,40,1.0,1.0,1.0,1.0,200,0.952,0.09217374897442328,0.4,1.0,0.8,1.0,0.9326666666666666,0.9616666666666667,0.945,0.23
qwen32,1,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,SOLAR-10.7B-Instruct","Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,60,1.0,1.0,1.0,1.0,200,0.981,0.058642987645582983,0.8,1.0,0.8,1.0,0.9766666666666667,0.98625,0.995,0.095
qwen32,1,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,SOLAR-10.7B-Instruct","Yi-1.5-9B-Chat,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,80,1.0,1.0,1.0,1.0,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen32,2,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat","SOLAR-10.7B-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,10,1.0,1.0,1.0,1.0,200,0.911,0.14380194713563513,0.0,1.0,0.6,1.0,0.8576666666666667,0.9220833333333334,0.72,0.345
qwen32,2,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat","SOLAR-10.7B-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,20,1.0,1.0,1.0,1.0,200,0.951,0.09694843990493089,0.6,1.0,0.8,1.0,0.9173333333333333,0.95375,0.815,0.22
qwen32,2,"EXAONE-3.5-7.8B-Instruct,Falcon3-7B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,OLMo-2-1124-7B-Instruct,Phi-3.5-mini-Instruct,Yi-1.5-9B-Chat","SOLAR-10.7B-Instruct,Zephyr-7B-beta,gemma-2-9b-it,granite-3.1-8b-instruct",7,4,25,1.0,1.0,1.0,1.0,200,0.958,0.09713907555664712,0.6,1.0,0.8,1.0,0.9293333333333333,0.9620833333333333,0.88,0.175
