method,category,total_pairs,inconsistent_n,inconsistency_rate
single_7B,overall,1680,1323,0.7875
single_7B,writing,210,181,0.8619
single_7B,roleplay,210,115,0.5476
single_7B,extraction,210,132,0.6286
single_7B,reasoning,210,158,0.7524
single_7B,math,210,159,0.7571
single_7B,coding,210,176,0.8381
single_7B,stem,210,200,0.9524
single_7B,humanities,210,202,0.9619
single_14B,overall,1680,787,0.4685
single_14B,writing,210,109,0.519
single_14B,roleplay,210,96,0.4571
single_14B,extraction,210,89,0.4238
single_14B,reasoning,210,100,0.4762
single_14B,math,210,73,0.3476
single_14B,coding,210,65,0.3095
single_14B,stem,210,104,0.4952
single_14B,humanities,210,151,0.719
single_32B,overall,1680,552,0.3286
single_32B,writing,210,86,0.4095
single_32B,roleplay,210,54,0.2571
single_32B,extraction,210,82,0.3905
single_32B,reasoning,210,64,0.3048
single_32B,math,210,57,0.2714
single_32B,coding,210,56,0.2667
single_32B,stem,210,82,0.3905
single_32B,humanities,210,71,0.3381
ensemble_current,overall,1680,985,0.5863
ensemble_current,writing,210,148,0.7048
ensemble_current,roleplay,210,111,0.5286
ensemble_current,extraction,210,112,0.5333
ensemble_current,reasoning,210,124,0.5905
ensemble_current,math,210,106,0.5048
ensemble_current,coding,210,90,0.4286
ensemble_current,stem,210,137,0.6524
ensemble_current,humanities,210,157,0.7476
ensemble_abstain,overall,1680,415,0.247
ensemble_abstain,writing,210,61,0.2905
ensemble_abstain,roleplay,210,57,0.2714
ensemble_abstain,extraction,210,54,0.2571
ensemble_abstain,reasoning,210,37,0.1762
ensemble_abstain,math,210,37,0.1762
ensemble_abstain,coding,210,42,0.2
ensemble_abstain,stem,210,63,0.3
ensemble_abstain,humanities,210,64,0.3048
