lang,judge,n_pairs,inconsistency_rate,comparison,obs_diff,p_value,sig
EN,Qwen-7B,1200,0.7925,,,,
EN,Qwen-14B,1200,0.4508,,,,
EN,Qwen-32B,1200,0.3092,,,,
EN,7B vs 14B,1200 vs 1200,,permutation_test,0.3417,0.0,p<0.001
EN,14B vs 32B,1200 vs 1200,,permutation_test,0.1417,0.0,p<0.001
EN,7B vs 32B,1200 vs 1200,,permutation_test,0.4833,0.0,p<0.001
KO,Qwen-7B,1200,0.4492,,,,
KO,Qwen-14B,1200,0.2325,,,,
KO,Qwen-32B,1200,0.2042,,,,
KO,7B vs 14B,1200 vs 1200,,permutation_test,0.2167,0.0,p<0.001
KO,14B vs 32B,1200 vs 1200,,permutation_test,0.0283,0.1032,p=0.103 (ns)
KO,7B vs 32B,1200 vs 1200,,permutation_test,0.245,0.0,p<0.001
EN vs KO,Qwen-7B,1200 vs 1200,,EN_vs_KO,0.3433,0.0,p<0.001
EN vs KO,Qwen-14B,1200 vs 1200,,EN_vs_KO,0.2183,0.0,p<0.001
EN vs KO,Qwen-32B,1200 vs 1200,,EN_vs_KO,0.105,0.0,p<0.001
