method,category,total_pairs,inconsistent_n,decisive_n,inconsistency_rate,decisive_rate
single_7B,overall,1680,1323,357,0.7875,0.2125
single_7B,writing,210,181,29,0.8619,0.1381
single_7B,roleplay,210,115,95,0.5476,0.4524
single_7B,extraction,210,132,78,0.6286,0.3714
single_7B,reasoning,210,158,52,0.7524,0.2476
single_7B,math,210,159,51,0.7571,0.2429
single_7B,coding,210,176,34,0.8381,0.1619
single_7B,stem,210,200,10,0.9524,0.0476
single_7B,humanities,210,202,8,0.9619,0.0381
single_14B,overall,1680,787,893,0.4685,0.5315
single_14B,writing,210,109,101,0.519,0.481
single_14B,roleplay,210,96,114,0.4571,0.5429
single_14B,extraction,210,89,121,0.4238,0.5762
single_14B,reasoning,210,100,110,0.4762,0.5238
single_14B,math,210,73,137,0.3476,0.6524
single_14B,coding,210,65,145,0.3095,0.6905
single_14B,stem,210,104,106,0.4952,0.5048
single_14B,humanities,210,151,59,0.719,0.281
single_32B,overall,1680,552,1128,0.3286,0.6714
single_32B,writing,210,86,124,0.4095,0.5905
single_32B,roleplay,210,54,156,0.2571,0.7429
single_32B,extraction,210,82,128,0.3905,0.6095
single_32B,reasoning,210,64,146,0.3048,0.6952
single_32B,math,210,57,153,0.2714,0.7286
single_32B,coding,210,56,154,0.2667,0.7333
single_32B,stem,210,82,128,0.3905,0.6095
single_32B,humanities,210,71,139,0.3381,0.6619
ensemble_current,overall,1680,985,695,0.5863,0.4137
ensemble_current,writing,210,148,62,0.7048,0.2952
ensemble_current,roleplay,210,111,99,0.5286,0.4714
ensemble_current,extraction,210,112,98,0.5333,0.4667
ensemble_current,reasoning,210,124,86,0.5905,0.4095
ensemble_current,math,210,106,104,0.5048,0.4952
ensemble_current,coding,210,90,120,0.4286,0.5714
ensemble_current,stem,210,137,73,0.6524,0.3476
ensemble_current,humanities,210,157,53,0.7476,0.2524
ensemble_abstain,overall,1680,415,1265,0.247,0.753
ensemble_abstain,writing,210,61,149,0.2905,0.7095
ensemble_abstain,roleplay,210,57,153,0.2714,0.7286
ensemble_abstain,extraction,210,54,156,0.2571,0.7429
ensemble_abstain,reasoning,210,37,173,0.1762,0.8238
ensemble_abstain,math,210,37,173,0.1762,0.8238
ensemble_abstain,coding,210,42,168,0.2,0.8
ensemble_abstain,stem,210,63,147,0.3,0.7
ensemble_abstain,humanities,210,64,146,0.3048,0.6952
