judge_label,n_questions,n_splits,dev_size,test_size,topdisc_rho_mean,topdisc_rho_min,topdisc_rho_max,random_mean_rho_mean,random_mean_rho_min,random_mean_rho_max,random_std_rho_mean,random_p05_rho_mean,random_p95_rho_mean,topdisc_tau_mean,random_mean_tau_mean,topdisc_pairwise_acc_mean,random_mean_pairwise_acc_mean,topdisc_top1_match_rate,random_mean_top1_match_rate,topdisc_beats_random_rate,topdisc_beats_random_trial_rate_mean
qwen32,10,330,7,4,0.86,0.19999999999999996,1.0,0.7843727272727273,0.324,0.955,0.23618470680429235,0.33112121212121215,1.0,0.804040404040404,0.7292779471544716,0.896969696969697,0.8550871212121213,0.7878787878787878,0.7184242424242424,0.7818181818181819,0.34404545454545454
qwen32,20,330,7,4,0.9266666666666666,0.4,1.0,0.8757272727272727,0.48000000000000004,0.988,0.1591459358439752,0.574939393939394,1.0,0.8888888888888888,0.83146757852077,0.9421717171717172,0.9101313131313131,0.896969696969697,0.8244545454545454,0.7545454545454545,0.2846212121212121
qwen32,25,330,7,4,0.9418181818181818,0.19999999999999996,1.0,0.8983848484848485,0.538,0.993,0.134539998902357,0.6640909090909092,1.0,0.9121212121212121,0.85790101010101,0.9553030303030303,0.9246363636363636,0.9575757575757575,0.8515757575757575,0.8,0.27075757575757575
qwen32,30,330,7,4,0.9587878787878787,0.4,1.0,0.9174818181818182,0.5760000000000001,1.0,0.11670777271643434,0.7224545454545455,1.0,0.9363636363636364,0.8822828282828282,0.9671717171717171,0.9376414141414141,0.9696969696969697,0.8769242424242424,0.8303030303030303,0.24375757575757576
qwen32,40,330,7,4,0.9684848484848485,0.8,1.0,0.940869696969697,0.66,1.0,0.08966762071188737,0.7833030303030304,1.0,0.9494949494949495,0.9130994949494949,0.9742424242424242,0.9539886363636364,0.9848484848484849,0.9097424242424242,0.806060606060606,0.18875757575757576
qwen32,60,330,7,4,0.9975757575757576,0.8,1.0,0.9709666666666666,0.8170000000000001,1.0,0.05279428285341138,0.8847575757575757,1.0,0.9959595959595959,0.9560373737373737,0.997979797979798,0.9764040404040404,0.996969696969697,0.9563333333333334,0.7575757575757576,0.13456060606060607
qwen32,80,330,7,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
internlm20b,10,330,7,4,0.793939393939394,-0.3999999999999999,1.0,0.5584848484848485,0.117,0.838,0.4092875374609549,-0.25106060606060604,0.9988181818181818,0.7185858585858586,0.5404933333333333,0.854040404040404,0.7444709595959595,0.6818181818181818,0.5799242424242425,0.9,0.5243030303030303
internlm20b,20,330,7,4,0.8406060606060606,-0.3999999999999999,1.0,0.705930303030303,0.226,0.9440000000000001,0.3039593261405754,0.12221212121212124,1.0,0.7892929292929293,0.659156378600823,0.8911616161616162,0.8166426767676768,0.7,0.6892727272727273,0.8,0.4523030303030303
internlm20b,25,330,7,4,0.8606060606060606,-0.6000000000000001,1.0,0.7536545454545455,0.24400000000000002,0.962,0.26725134778791415,0.24621212121212124,1.0,0.8107070707070707,0.7030858739837398,0.9030303030303031,0.841459595959596,0.7181818181818181,0.7293181818181819,0.7727272727272727,0.42209090909090907
internlm20b,30,330,7,4,0.8896969696969698,-0.8,1.0,0.7899757575757576,0.28,0.976,0.23490937171646858,0.342,1.0,0.8513131313131314,0.7389883130081301,0.923989898989899,0.861229797979798,0.793939393939394,0.7642727272727273,0.8,0.413969696969697
internlm20b,40,330,7,4,0.9218181818181819,0.19999999999999996,1.0,0.8468848484848485,0.30000000000000004,0.993,0.18471272020775836,0.49939393939393945,1.0,0.8864646464646464,0.7999154002026342,0.9419191919191919,0.8944734848484849,0.896969696969697,0.8241060606060606,0.7848484848484848,0.35084848484848485
internlm20b,60,330,7,4,0.9951515151515151,0.8,1.0,0.9275696969696969,0.5640000000000001,1.0,0.11219603045441834,0.7274242424242424,1.0,0.9919191919191919,0.8969424242424242,0.9959595959595959,0.9464229797979798,0.9878787878787879,0.9131363636363636,0.9575757575757575,0.2706363636363636
internlm20b,80,330,7,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
