model,category,score_turn1,score_turn2,delta,n_questions
Mistral-7B-Instruct-v0.3,coding,5.7,6.4,0.7,10
Mistral-7B-Instruct-v0.3,extraction,8.2,7.2,-1.0,10
Mistral-7B-Instruct-v0.3,humanities,8.2,8.4,0.2,10
Mistral-7B-Instruct-v0.3,math,7.0,6.5,-0.5,10
Mistral-7B-Instruct-v0.3,reasoning,6.1,7.3,1.2,10
Mistral-7B-Instruct-v0.3,roleplay,7.9,7.7,-0.2,10
Mistral-7B-Instruct-v0.3,stem,8.7,8.0,-0.7,10
Mistral-7B-Instruct-v0.3,writing,8.7,7.8,-0.9,10
Phi-3.5-mini-Instruct,coding,7.9,8.4,0.5,10
Phi-3.5-mini-Instruct,extraction,7.7,7.6,-0.1,10
Phi-3.5-mini-Instruct,humanities,8.5,8.8,0.3,10
Phi-3.5-mini-Instruct,math,8.9,7.7,-1.2,10
Phi-3.5-mini-Instruct,reasoning,7.8,7.7,-0.1,10
Phi-3.5-mini-Instruct,roleplay,7.8,7.6,-0.2,10
Phi-3.5-mini-Instruct,stem,8.2,8.3,0.1,10
Phi-3.5-mini-Instruct,writing,8.2,8.3,0.1,10
Qwen2.5-7B-Instruct,coding,8.8,8.8,0.0,10
Qwen2.5-7B-Instruct,extraction,6.6,8.3,1.7,10
Qwen2.5-7B-Instruct,humanities,8.8,8.4,-0.4,10
Qwen2.5-7B-Instruct,math,9.1,8.5,-0.6,10
Qwen2.5-7B-Instruct,reasoning,6.2,8.2,2.0,10
Qwen2.5-7B-Instruct,roleplay,8.1,7.8,-0.3,10
Qwen2.5-7B-Instruct,stem,8.7,8.4,-0.3,10
Qwen2.5-7B-Instruct,writing,8.2,7.0,-1.2,10
SOLAR-10.7B-Instruct,coding,5.3,4.6,-0.7,10
SOLAR-10.7B-Instruct,extraction,7.556,6.778,-0.778,9
SOLAR-10.7B-Instruct,humanities,8.5,7.9,-0.6,10
SOLAR-10.7B-Instruct,math,7.8,6.7,-1.1,10
SOLAR-10.7B-Instruct,reasoning,7.0,6.7,-0.3,10
SOLAR-10.7B-Instruct,roleplay,6.7,6.4,-0.3,10
SOLAR-10.7B-Instruct,stem,7.9,7.4,-0.5,10
SOLAR-10.7B-Instruct,writing,8.2,7.5,-0.7,10
Yi-1.5-9B-Chat,coding,6.6,7.8,1.2,10
Yi-1.5-9B-Chat,extraction,8.3,7.8,-0.5,10
Yi-1.5-9B-Chat,humanities,8.4,8.4,0.0,10
Yi-1.5-9B-Chat,math,8.2,7.8,-0.4,10
Yi-1.5-9B-Chat,reasoning,7.1,7.8,0.7,10
Yi-1.5-9B-Chat,roleplay,8.2,7.9,-0.3,10
Yi-1.5-9B-Chat,stem,8.5,8.5,0.0,10
Yi-1.5-9B-Chat,writing,8.7,7.5,-1.2,10
Zephyr-7B-beta,coding,5.7,5.6,-0.1,10
Zephyr-7B-beta,extraction,8.1,6.7,-1.4,10
Zephyr-7B-beta,humanities,8.1,7.7,-0.4,10
Zephyr-7B-beta,math,6.9,5.8,-1.1,10
Zephyr-7B-beta,reasoning,5.8,6.5,0.7,10
Zephyr-7B-beta,roleplay,7.2,7.2,0.0,10
Zephyr-7B-beta,stem,8.2,8.0,-0.2,10
Zephyr-7B-beta,writing,7.9,7.3,-0.6,10
gemma-2-9b-it,coding,7.7,8.2,0.5,10
gemma-2-9b-it,extraction,7.6,7.4,-0.2,10
gemma-2-9b-it,humanities,8.5,8.5,0.0,10
gemma-2-9b-it,math,8.2,7.9,-0.3,10
gemma-2-9b-it,reasoning,7.5,7.9,0.4,10
gemma-2-9b-it,roleplay,7.9,8.1,0.2,10
gemma-2-9b-it,stem,8.2,8.6,0.4,10
gemma-2-9b-it,writing,8.3,8.0,-0.3,10
llama-13b,math,7.0,7.0,0.0,1
llama-13b,reasoning,7.0,7.0,0.0,1
llama-13b,writing,7.0,7.0,0.0,1
vicuna-13b,math,7.0,7.0,0.0,1
vicuna-13b,reasoning,7.0,7.0,0.0,1
vicuna-13b,writing,7.0,7.0,0.0,1
